id,prompt,response
39,Write a Python script to remove all whitespace characters from a string.,def remove_whitespace(s): return ''.join(s.split())
40,Write a Python program to create a dictionary from two lists.,"def to_dict(keys,vals): return dict(zip(keys, vals))"
41,Write a Python function to return the maximum of three numbers.,"def max_of_three(a,b,c): return max(a,b,c)"
42,Write a Python script to print the multiplication table of a given number.,"def table(n): [print(f'{n} x {i} = {n*i}') for i in range(1,11)]"
43,Write a Python function to find the common elements between two lists.,"def common_elements(a,b): return list(set(a)&set(b))"
44,Write a Python program to convert Celsius to Kelvin.,def c_to_k(c): return c + 273.15
45,Write a Python script to calculate the factorial using the math module.,import math; def factorial(n): return math.factorial(n)
46,Write a Python function to calculate the compound interest.,"def compound_interest(p,r,t): return p*(1+r/100)**t - p"
47,Write a Python program to count the number of lines in a text file.,def count_lines(path): return sum(1 for _ in open(path))
48,Write a Python script to reverse the order of words in a file.,def reverse_file(path): lines=open(path).readlines(); lines.reverse(); [print(line.strip()) for line in lines]
49,Write a Python function to find the index of an element in a list.,"def find_index(lst, x): return lst.index(x)"
50,Write a Python program to remove all occurrences of a specific element from a list.,"def remove_all(lst, val): return [x for x in lst if x != val]"
51,Write a Python function to merge two sorted lists into a single sorted list.,"def merge_sorted(a,b): return sorted(a + b)"
52,Write a Python script to create a text file and write some text to it.,"with open('file.txt','w') as f: f.write('Your text here')"
53,Write a Python function to check if a list contains only numbers.,"def is_all_numbers(lst): return all(isinstance(x, (int,float)) for x in lst)"
54,Write a Python program to find the sum of all numbers divisible by 3 in a list.,def sum_div_by_3(lst): return sum(x for x in lst if x % 3 == 0)
55,Write a Python function to generate the first n prime numbers.,"def gen_primes(n): p, r = [], 2; while len(p) < n: all(r%i for i in range(2,int(r**0.5)+1)) and p.append(r); r+=1; return p"
56,Write a Python script to rename all files in a directory by adding a prefix.,"import os; def rename_files(path, prefix): [os.rename(f'{path}/{f}', f'{path}/{prefix}{f}') for f in os.listdir(path)]"
57,Write a Python program to find the median of a list.,def median(lst): s=sorted(lst); l=len(s); return (s[l//2] if l%2 else (s[l//2-1]+s[l//2])/2)
58,Write a Python function to check if a string is a pangram.,import string; def is_pangram(s): return set(string.ascii_lowercase) <= set(s.lower())
59,Write a Python script to calculate the power of a number.,"def power(a,b): return a ** b"
60,Write a Python program to convert a decimal number to binary.,def dec_to_bin(n): return bin(n)[2:]
61,Write a Python function to remove None values from a list.,def remove_none(lst): return [x for x in lst if x is not None]
62,Write a Python script to count how many times a word appears in a file.,"def word_count(file,word): return open(file).read().split().count(word)"
63,Write a Python program to check if a string starts with a given prefix.,"def starts_with(s, prefix): return s.startswith(prefix)"
64,Write a Python function to get the factorial of a number using reduce.,"from functools import reduce; def factorial(n): return reduce(lambda x,y:x*y, range(1,n+1), 1)"
65,Write a Python script to sort a list in descending order.,"def sort_desc(lst): return sorted(lst, reverse=True)"
66,Write a Python function to generate a list of random integers.,"import random; def random_ints(n, a=0, b=100): return [random.randint(a,b) for _ in range(n)]"
67,Write a Python program to check if a number is even or odd.,def is_even(n): return n % 2 == 0
68,Write a Python script to remove duplicates while preserving order.,def remove_dupes_order(lst): seen=set(); return [x for x in lst if not (x in seen or seen.add(x))]
69,Write a Python function to return the nth Fibonacci number.,"def fib_n(n): a,b=0,1; [a:=b; b:=a+b for _ in range(n-1)]; return a"
70,Write a Python program to convert a string to title case.,def to_title(s): return s.title()
71,Write a Python function to check if a string contains only digits.,def is_digits(s): return s.isdigit()
72,Write a Python script to create a list of all even numbers between 1 and 100.,"def evens(): return [x for x in range(2,101,2)]"
73,Write a Python program to calculate the perimeter of a rectangle.,"def rect_perimeter(w,h): return 2*(w+h)"
74,Write a Python function to split a string into a list of words.,def split_words(s): return s.split()
75,Write a Python script to create a nested dictionary.,nested = {'outer': {'inner': 'value'}}
76,Write a Python program to multiply all numbers in a list.,"from functools import reduce; def multiply(lst): return reduce(lambda x,y:x*y, lst)"
77,Write a Python function to validate an email address.,"import re; def valid_email(e): return bool(re.match(r'^[\w.-]+@[\w.-]+\.\w+$', e))"
78,Write a Python script to count the number of uppercase letters in a string.,def count_upper(s): return sum(1 for c in s if c.isupper())
79,Write a Python program to remove all vowels from a string.,def remove_vowels(s): return ''.join(c for c in s if c.lower() not in 'aeiou')
80,Write a Python function to calculate the distance between two points.,"def distance(p1,p2): return ((p2[0]-p1[0])**2 + (p2[1]-p1[1])**2)**0.5"
81,Write a Python script to check if a given key exists in a dictionary.,"def key_exists(d, key): return key in d"
82,Write a Python program to merge multiple dictionaries.,def merge_dicts(*dicts): res={}; [res.update(d) for d in dicts]; return res
83,Write a Python function to check if a string is a palindrome ignoring spaces.,"def is_palindrome_ignore_space(s): s=s.replace(' ',''); return s==s[::-1]"
84,Write a Python script to find all pairs in a list whose sum is equal to a target value.,"def find_pairs(lst, target): return [(x,y) for i,x in enumerate(lst) for y in lst[i+1:] if x+y==target]"
85,Write a Python function to count the occurrence of each word in a string.,from collections import Counter; def word_freq(s): return dict(Counter(s.split()))
86,Write a Python program to extract digits from a string.,def extract_digits(s): return [int(c) for c in s if c.isdigit()]
87,Write a Python function to generate all permutations of a string.,from itertools import permutations; def perms(s): return [''.join(p) for p in permutations(s)]
88,Write a Python script to sort a dictionary by its values.,"def sort_dict_by_value(d): return dict(sorted(d.items(), key=lambda item: item[1]))"
89,Write a Python program to replace vowels in a string with '*'.,def replace_vowels(s): return ''.join('*' if c.lower() in 'aeiou' else c for c in s)
90,Write a Python function to check if two lists have at least one common element.,"def common_exists(a,b): return bool(set(a)&set(b))"
91,Write a Python script to print all prime numbers between 1 and 50.,"def primes_1_to_50(): return [x for x in range(2,51) if all(x%i for i in range(2,int(x**0.5)+1))]"
92,Write a Python program to convert a list of characters into a string.,def list_to_str(lst): return ''.join(lst)
93,Write a Python function to remove all non-alphanumeric characters from a string.,"import re; def clean_string(s): return re.sub(r'[^a-zA-Z0-9]', '', s)"
94,Write a Python script to check if a string is a valid identifier.,def is_identifier(s): return s.isidentifier()
95,Write a Python program to count the number of words in a sentence.,def word_count(s): return len(s.split())
96,Write a Python function to convert a list of integers to a comma-separated string.,"def list_to_csv(lst): return ','.join(map(str,lst))"
97,Write a Python script to swap the first and last elements of a list.,"def swap_first_last(lst): lst[0],lst[-1]=lst[-1],lst[0]; return lst"
98,Write a Python program to check if a number is a perfect square.,def is_perfect_square(n): return int(n**0.5)**2 == n
99,Write a Python function to round a number to two decimal places.,"def round2(n): return round(n,2)"
100,Write a Python script to remove all empty strings from a list.,def remove_empty(lst): return [x for x in lst if x]
