id,prompt,response
1364,Explain how to initialize a dictionary with default values using `fromkeys()`.,"Use `dict.fromkeys(keys, default_value)`."
1365,Explain how to count characters in a string using a dictionary.,Loop and use a dictionary to increment character counts.
1366,Explain how to create a dictionary from a list of key-value tuples.,Use `dict(list_of_tuples)`.
1367,Explain how to sort dictionary items by key or value.,"Use `sorted(dict.items())` for keys, `sorted(dict.items(), key=lambda x: x[1])` for values."
1368,Explain how to remove all whitespace characters from a string.,Use `''.join(s.split())` or regex to remove all whitespace.
1369,Explain how to count the number of words in a string.,Use `len(s.split())`.
1370,Explain how to split a string into a list of sentences.,"Use `s.split('.')` or `re.split(r'[.!?]', s)`."
1371,Explain how to convert a sentence into a list of ASCII values.,Use `[ord(c) for c in sentence]`.
1372,Explain how to return the most frequent word in a sentence.,"Split, count with `collections.Counter`, return `most_common(1)`."
1373,Explain how to find all capital letters in a string using a loop.,Loop and check `char.isupper()`.
1374,Explain how to compare two strings and return their common prefix.,"Loop and compare chars until mismatch, return matched prefix."
1375,Explain how to alternate case in a string starting with uppercase.,Toggle case every other character using index modulo 2.
1376,Explain how to swap the case of each character in a string.,Use `s.swapcase()`.
1377,Explain how to test whether a string has balanced parentheses.,"Use a counter: `+1` for `(`, `-1` for `)` — must end at zero."
1378,Explain how to convert a list of words into a hyphen-separated string.,Use `'-'.join(words)`.
1379,Explain how to detect duplicate words in a sentence.,"Split, then check if `len(set(words)) != len(words)`."
1380,Explain how to find the longest palindromic substring in a string.,Expand around each center to find longest matching palindrome.
1381,Explain how to convert a comma-separated string to a list of integers.,"Split by `','`, then convert each to `int`."
1382,Explain how to check if all items in a list are strings.,"Use `all(isinstance(x, str) for x in lst)`."
1383,Explain how to capitalize only the last letter of each word.,Use `word[:-1] + word[-1].upper()` in a loop.
1384,Explain how to filter a list of strings by a specific prefix.,Use `[w for w in words if w.startswith(prefix)]`.
1385,Explain how to create a matrix using a list of lists.,Use `[ [0]*cols for _ in range(rows) ]` or custom data.
1386,Explain how to print a matrix row by row using nested loops.,"Loop outer for rows, inner for columns — print row by row."
1387,Explain how to transpose a matrix manually using loops.,Loop and reassign: `transposed[j][i] = matrix[i][j]`.
1388,Explain how to reverse each row in a 2D list.,Loop through each row and use `row.reverse()` or `[::-1]`.
1389,Explain how to sum the diagonal of a square matrix.,Sum values where `i == j` in nested loops.
1390,Explain how to flatten a 2D list using list comprehension.,Use `[item for row in matrix for item in row]`.
1391,Explain how to generate a checkerboard pattern using loops.,Use nested loops: alternate `0` and `1` based on `(i + j) % 2`.
1392,Explain how to create a list of digits from a number using math.,"Extract digits with `% 10` and `// 10`, append to list."
1393,Explain how to find the sum of even digits in a number.,"Use loop and check `digit % 2 == 0`, then sum."
1394,Explain how to detect repeated digits in an integer.,Use set to track digits; return True if a digit repeats.
1395,Explain how to find the maximum digit in a number without converting to string.,"Track max digit using math: `max = 0; while n: max = max(n%10, max); n //= 10`."
1396,Explain how to check if a number is an Armstrong number.,"Sum each digit raised to the power of total digits, compare with original."
1397,Explain how to convert a binary string to an integer manually.,"Loop from end, multiply digit by powers of 2, sum."
1398,Explain how to create a function that checks for prime numbers.,"Check divisibility from 2 to sqrt(n), return False if any divides."
1399,Explain how to generate the first `n` prime numbers.,"Loop until you find `n` primes, use is-prime check for each."
1400,Explain how to count how many prime digits are in a number.,"Extract digits, count how many are 2, 3, 5, or 7."
